 的	〔※※※※☯rqyy☯de※di※〕
 汉	〔※※※※☯icy☯han※〕
 留	〔※※※※☯qyvl☯liu※〕
 跟	〔※※※※☯khve☯gen※〕
 修	〔※※※※☯whte☯xiu※〕
 巴	〔※※※※☯cnhn☯ba※〕
 创	〔※※※※☯wbjh☯chuang※〕
 助	〔※※※※☯eget☯zhu※〕
 未	〔※※※※☯fii☯wei※〕
 犯	〔※※※※☯qtbn☯fan※〕
 初	〔※※※※☯puvt☯chu※〕
 功	〔※※※※☯aet☯gong※〕
 抗	〔※※※※☯rywn☯kang※〕
 田	〔※※※※☯llll☯tian※〕
 坏	〔※※※※☯fdhy☯huai※pi※〕
 降	〔※※※※☯btah☯jiang※xiang※〕
 古	〔※※※※☯dghg☯gu※〕
 尽	〔※※※※☯nyuu☯jin※〕
 互	〔※※※※☯gxgd☯hu※〕
 财	〔※※※※☯mftt☯cai※〕
 溶	〔※※※※☯ipwk☯rong※〕
 病	〔※※※※☯ugmw☯bing※〕
 叶	〔※※※※☯kfh☯ye※xie※〕
 投	〔※※※※☯rwcy☯tou※〕
 策	〔※※※※☯tgmi☯ce※〕
 责	〔※※※※☯gmu☯ze※〕
 波	〔※※※※☯ihcy☯bo※〕
 令	〔※※※※☯wycu☯ling※〕
 独	〔※※※※☯qtjy☯du※〕
 考	〔※※※※☯ftgn☯kao※〕
 右	〔※※※※☯dkf☯you※〕
 请	〔※※※※☯ygeg☯qing※〕
 球	〔※※※※☯ggiy☯qiu※〕
 让	〔※※※※☯yhgg☯rang※〕
 副	〔※※※※☯gklj☯fu※〕
 双	〔※※※※☯ccy☯shuang※〕
 检	〔※※※※☯swgg☯jian※〕
 宜	〔※※※※☯pegf☯yi※〕
 杂	〔※※※※☯vsu☯za※〕
 钱	〔※※※※☯qfxy☯qian※〕
 述	〔※※※※☯sypi☯shu※〕
 限	〔※※※※☯bvey☯xian※〕
 简	〔※※※※☯tujf☯jian※〕
 找	〔※※※※☯ray☯zhao※〕
 冲	〔※※※※☯ukhh☯chong※〕
 端	〔※※※※☯umdj☯duan※〕
 输	〔※※※※☯lwgj☯shu※〕
 倒	〔※※※※☯wgcj☯dao※〕
 养	〔※※※※☯ufwj☯yang※〕
 敌	〔※※※※☯tdty☯di※〕
 阿	〔※※※※☯bskg☯a※e※〕
 超	〔※※※※☯fhvk☯chao※〕
 换	〔※※※※☯rqmd☯huan※〕
 州	〔※※※※☯ytyh☯zhou※〕
 胜	〔※※※※☯etgg☯sheng※〕
 帝	〔※※※※☯yuph☯di※〕
 依	〔※※※※☯wyey☯yi※〕
 坐	〔※※※※☯wwfd☯zuo※〕
 纪	〔※※※※☯xnn☯ji※〕
 突	〔※※※※☯pwdy☯tu※〕
 念	〔※※※※☯wynn☯nian※〕
 客	〔※※※※☯ptkf☯ke※〕
 绝	〔※※※※☯xqcn☯jue※〕
 升	〔※※※※☯tak☯sheng※〕
 陈	〔※※※※☯baiy☯chen※〕
 略	〔※※※※☯ltkg☯lve※〕
 益	〔※※※※☯uwlf☯yi※〕
 否	〔※※※※☯dhkf☯fou※pi※〕
 罗	〔※※※※☯lqu☯luo※〕
 仍	〔※※※※☯wbt☯reng※〕
 吸	〔※※※※☯kbyy☯xi※〕
 苦	〔※※※※☯adf☯ku※〕
 错	〔※※※※☯qajg☯cuo※〕
 承	〔※※※※☯bdii☯cheng※〕
 友	〔※※※※☯dcu☯you※〕
 草	〔※※※※☯ajfj☯cao※〕
 夜	〔※※※※☯ywty☯ye※〕
 微	〔※※※※☯tmgt☯wei※〕
 优	〔※※※※☯wdny☯you※〕
 画	〔※※※※☯glbj☯hua※〕
 础	〔※※※※☯dbmh☯chu※〕
 协	〔※※※※☯fewy☯xie※〕
 良	〔※※※※☯yvei☯liang※〕
 射	〔※※※※☯tmdf☯she※〕
 曲	〔※※※※☯mad☯qu※〕
 洋	〔※※※※☯iugh☯yang※〕
 村	〔※※※※☯sfy☯cun※〕
 矿	〔※※※※☯dot☯kuang※〕
 终	〔※※※※☯xtuy☯zhong※〕
 轮	〔※※※※☯lwxn☯lun※〕
 块	〔※※※※☯fnwy☯kuai※〕
 环	〔※※※※☯gdhy☯huan※〕
 析	〔※※※※☯srh☯xi※〕
 径	〔※※※※☯tcag☯jing※〕
 哪	〔※※※※☯kngb☯na※ne※nai※〕
 烈	〔※※※※☯gqjo☯lie※〕
 校	〔※※※※☯sywr☯xiao※jiao※〕
 板	〔※※※※☯srcy☯ban※〕
 云	〔※※※※☯fcu☯yun※〕
 诉	〔※※※※☯yryy☯su※〕
 既	〔※※※※☯vcaq☯ji※〕
 迅	〔※※※※☯nfpk☯xun※〕
 刻	〔※※※※☯yntj☯ke※〕
 靠	〔※※※※☯tfkd☯kao※〕
 察	〔※※※※☯pwfi☯cha※〕
 逐	〔※※※※☯gepi☯zhu※〕
 央	〔※※※※☯mdi☯yang※〕
 待	〔※※※※☯tffy☯dai※〕
 母	〔※※※※☯xnny☯mu※〕
 境	〔※※※※☯fujq☯jing※〕
 激	〔※※※※☯iryt☯ji※〕
 渤	〔※※※※☯ifpe☯bo※〕
 模	〔※※※※☯sajd☯mo※mu※〕
 控	〔※※※※☯rpwa☯kong※〕
 卫	〔※※※※☯bgd☯wei※〕
 久	〔※※※※☯qyi☯jiu※〕
 印	〔※※※※☯qgbh☯yin※〕
 房	〔※※※※☯ynye☯fang※〕
 停	〔※※※※☯wyks☯ting※〕
 甚	〔※※※※☯adwn☯shen※〕
 皮	〔※※※※☯hci☯pi※〕
 洲	〔※※※※☯iyth☯zhou※〕
 搞	〔※※※※☯rykk☯gao※〕
 息	〔※※※※☯thnu☯xi※〕
 移	〔※※※※☯tqqy☯yi※〕
 旧	〔※※※※☯hjg☯jiu※〕
 拿	〔※※※※☯wgkr☯na※〕
 若	〔※※※※☯adkf☯ruo※re※〕
 顶	〔※※※※☯sdmy☯ding※〕
 短	〔※※※※☯tdgu☯duan※〕
 湖	〔※※※※☯ideg☯hu※〕
 括	〔※※※※☯rtdg☯kuo※gua※〕
 挥	〔※※※※☯rplh☯hui※〕
 侵	〔※※※※☯wvpc☯qin※〕
 甲	〔※※※※☯lhnh☯jia※〕
 游	〔※※※※☯iytb☯you※〕
 语	〔※※※※☯ygkg☯yu※〕
 冷	〔※※※※☯uwyc☯leng※〕
 普	〔※※※※☯uogj☯pu※〕
 银	〔※※※※☯qvey☯yin※〕
 乐	〔※※※※☯tnii☯le※yue※〕
 医	〔※※※※☯atdi☯yi※〕
 烧	〔※※※※☯oatq☯shao※〕
 刘	〔※※※※☯yjh☯liu※〕
 吗	〔※※※※☯kcgg☯ma※〕
 针	〔※※※※☯qfh☯zhen※〕
 纸	〔※※※※☯xqan☯zhi※〕
 粉	〔※※※※☯owvt☯fen※〕
 散	〔※※※※☯aety☯san※〕
 急	〔※※※※☯qvnu☯ji※〕
 预	〔※※※※☯cnhm☯yu※〕
 扩	〔※※※※☯rot☯kuo※〕
 愿	〔※※※※☯drin☯yuan※〕
 核	〔※※※※☯synw☯he※hu※〕
 吧	〔※※※※☯kcn☯ba※〕
 龙	〔※※※※☯dxyi☯long※〕
 误	〔※※※※☯ykgd☯wu※〕
 欢	〔※※※※☯cqwy☯huan※〕
 孩	〔※※※※☯bynw☯hai※〕
 盐	〔※※※※☯fhlf☯yan※〕
 善	〔※※※※☯uguk☯shan※〕
 雨	〔※※※※☯fghy☯yu※〕
 货	〔※※※※☯wxmu☯huo※〕
 讨	〔※※※※☯yfy☯tao※〕
 测	〔※※※※☯imjh☯ce※〕
 丝	〔※※※※☯xxgf☯si※〕
 室	〔※※※※☯pgcf☯shi※〕
 混	〔※※※※☯ijxx☯hun※〕
 弹	〔※※※※☯xulh☯dan※tan※〕
 乎	〔※※※※☯tufk☯hu※〕
 鲜	〔※※※※☯qgug☯xian※〕
 晚	〔※※※※☯jqkq☯wan※〕
 乱	〔※※※※☯tdnn☯luan※〕
 沙	〔※※※※☯iitt☯sha※〕
 序	〔※※※※☯ocnh☯xu※〕
 缺	〔※※※※☯rmnw☯que※〕
 获	〔※※※※☯aqty☯huo※〕
 读	〔※※※※☯yfnd☯du※dou※〕
 鲁	〔※※※※☯qgjf☯lu※〕
 载	〔※※※※☯flxy☯zai※〕
 渐	〔※※※※☯ilrh☯jian※〕
 父	〔※※※※☯wru☯fu※〕
 啊	〔※※※※☯kbsk☯a※〕
 演	〔※※※※☯ipgw☯yan※〕
 刚	〔※※※※☯mrjh☯gang※〕
 守	〔※※※※☯pfu☯shou※〕
 宁	〔※※※※☯psj☯ning※〕
 杀	〔※※※※☯rsu☯sha※〕
 谓	〔※※※※☯yleg☯wei※〕
 刑	〔※※※※☯gajh☯xing※〕
 附	〔※※※※☯bwfy☯fu※〕
 担	〔※※※※☯rjgg☯dan※〕
 贵	〔※※※※☯khgm☯gui※〕
 班	〔※※※※☯gytg☯ban※〕
 稳	〔※※※※☯tqvn☯wen※〕
 钢	〔※※※※☯qmry☯gang※〕
 迫	〔※※※※☯rpd☯po※pai※〕
 答	〔※※※※☯twgk☯da※〕
 距	〔※※※※☯khan☯ju※〕
 药	〔※※※※☯axqy☯yao※〕
 假	〔※※※※☯wnhc☯jia※〕
 毫	〔※※※※☯ykpn☯hao※〕
 兰	〔※※※※☯udf☯lan※〕
 喜	〔※※※※☯fkuk☯xi※〕
 练	〔※※※※☯xanw☯lian※〕
 乙	〔※※※※☯nnll☯yi※〕
 酒	〔※※※※☯isgg☯jiu※〕
 盾	〔※※※※☯rfhd☯dun※〕
 困	〔※※※※☯lsi☯kun※〕
 买	〔※※※※☯nudu☯mai※〕
 福	〔※※※※☯pygl☯fu※〕
 征	〔※※※※☯tghg☯zheng※〕
 阻	〔※※※※☯begg☯zu※〕
 损	〔※※※※☯rkmy☯sun※〕
 介	〔※※※※☯wjj☯jie※〕
 剂	〔※※※※☯yjjh☯ji※〕
 穿	〔※※※※☯pwat☯chuan※〕
 钟	〔※※※※☯qkhh☯zhong※〕
 顺	〔※※※※☯kdmy☯shun※〕
 飞	〔※※※※☯nui☯fei※〕
 丰	〔※※※※☯dhk☯feng※〕
 怕	〔※※※※☯nrg☯pa※〕
 祖	〔※※※※☯pyeg☯zu※〕
 矛	〔※※※※☯cnht☯mao※〕
 执	〔※※※※☯rvyy☯zhi※〕
 星	〔※※※※☯jtgf☯xing※〕
 谁	〔※※※※☯ywyg☯shui※shei※〕
 血	〔※※※※☯tld☯xie※xue※〕
 背	〔※※※※☯uxef☯bei※〕
 掌	〔※※※※☯ipkr☯zhang※〕
 脱	〔※※※※☯eukq☯tuo※〕
 希	〔※※※※☯rdmh☯xi※〕
 评	〔※※※※☯yguf☯ping※〕
 沉	〔※※※※☯ipwn☯chen※〕
 概	〔※※※※☯svcq☯gai※〕
 跑	〔※※※※☯khqn☯pao※〕
 熟	〔※※※※☯ykbo☯shu※shou※〕
 伤	〔※※※※☯wtet☯shang※〕
 衣	〔※※※※☯yeu☯yi※〕
 械	〔※※※※☯saah☯xie※〕
 烟	〔※※※※☯oldy☯yan※yin※〕
